occlusion_on,keypoint,precision,recall,f1_score
thumb,0.0,0.9855252274607114,0.8037099494097808,0.8853798996841911
thumb,1.0,0.9851116625310173,0.8036437246963563,0.8851727982162764
thumb,2.0,0.923490488006617,0.7932504440497335,0.8534301547869292
thumb,3.0,0.8970223325062034,0.7884405670665212,0.8392338943702844
thumb,4.0,0.7857733664185277,0.765511684125705,0.7755102040816326
thumb,5.0,0.9884201819685691,0.8041722745625841,0.8868274582560296
thumb,6.0,0.9714640198511166,0.8014329580348004,0.8782950084127875
thumb,7.0,0.9574028122415219,0.7991025198481188,0.8711194731890874
thumb,8.0,0.9404466501240695,0.7962184873949579,0.8623435722411832
thumb,9.0,0.9995864350703061,0.8059353117705902,0.8923758537936127
thumb,10.0,0.9991728701406121,0.8058705803869246,0.8921713441654358
thumb,11.0,0.9971050454921423,0.8055462746408286,0.8911476621696546
thumb,12.0,0.9851116625310173,0.8036437246963563,0.8851727982162764
thumb,13.0,0.9971050454921423,0.8055462746408286,0.8911476621696546
thumb,14.0,0.9979321753515302,0.8056761268781302,0.8915573619065212
thumb,15.0,0.9913151364764268,0.8046324269889225,0.8882712618121179
thumb,16.0,0.9801488833746899,0.8028455284552846,0.88268156424581
thumb,17.0,0.9698097601323408,0.8011615989067304,0.8774555659494855
thumb,18.0,0.9532671629445822,0.7984066505022515,0.8689915174363807
thumb,19.0,0.9433416046319272,0.7967167307020607,0.8638515432683203
thumb,20.0,0.9313482216708023,0.7946365561044461,0.8575780654988576
index_finger,0.0,0.9931885908897403,0.7818364611260054,0.8749296831051939
index_finger,1.0,0.9833971902937421,0.7801418439716312,0.8700564971751412
index_finger,2.0,0.9608343976160069,0.7761348005502063,0.8586646376260225
index_finger,3.0,0.9595572584078331,0.7759036144578313,0.8580129425199848
index_finger,4.0,0.9399744572158365,0.7722980062959076,0.847926267281106
index_finger,5.0,0.9859514687100894,0.7805864509605662,0.871331828442438
index_finger,6.0,0.9782886334610472,0.7792472024415056,0.8674971687429218
index_finger,7.0,0.9625372498935717,0.7764423076923077,0.8595324082873979
index_finger,8.0,0.9157088122605364,0.7676659528907923,0.8351776354105999
index_finger,9.0,0.9961685823754789,0.7823470411233701,0.8764044943820224
index_finger,10.0,0.9970200085142614,0.7824924824590712,0.8768251591164359
index_finger,11.0,0.9842486164325245,0.7802902463719203,0.8704819277108434
index_finger,12.0,0.9578544061302682,0.7755946225439504,0.8571428571428572
index_finger,13.0,0.9957428693060877,0.7822742474916388,0.8761940438284322
index_finger,14.0,0.9957428693060877,0.7822742474916388,0.8761940438284322
index_finger,15.0,0.9893571732652192,0.7811764705882352,0.8730277986476332
index_finger,16.0,0.9638143891017454,0.776672384219554,0.8601823708206686
index_finger,17.0,0.9846743295019157,0.7803643724696356,0.870694522868436
index_finger,18.0,0.9765857811834824,0.7789473684210526,0.8666414809217982
index_finger,19.0,0.9659429544487016,0.7770547945205479,0.8612639969633706
index_finger,20.0,0.9548744146445296,0.7750518313752591,0.8556170131604043
middle_finger,0.0,0.9973451327433628,0.7528390113560455,0.8580129425199847
middle_finger,1.0,0.9951327433628319,0.7524255603880896,0.8569251285959231
middle_finger,2.0,0.9796460176991151,0.7494922139471902,0.8492520138089759
middle_finger,3.0,0.9725663716814159,0.7481279782164738,0.8457098884186226
middle_finger,4.0,0.9553097345132744,0.7447395653673681,0.8369839116107773
middle_finger,5.0,0.9911504424778761,0.7516778523489933,0.8549618320610688
middle_finger,6.0,0.984070796460177,0.7503373819163293,0.8514548238897398
middle_finger,7.0,0.9738938053097345,0.7483849030941857,0.8463756969813497
middle_finger,8.0,0.9517699115044248,0.7440332065029401,0.8351776354105999
middle_finger,9.0,0.9982300884955753,0.753004005340454,0.858447488584475
middle_finger,10.0,0.9964601769911504,0.7526737967914439,0.8575780654988577
middle_finger,11.0,0.9707964601769912,0.7477845944103613,0.8448209472468233
middle_finger,12.0,0.9243362831858407,0.7384234711912336,0.8209864413440755
middle_finger,13.0,0.9951327433628319,0.7524255603880896,0.8569251285959231
middle_finger,14.0,0.9964601769911504,0.7526737967914439,0.8575780654988577
middle_finger,15.0,0.9756637168141593,0.7487266553480475,0.8472622478386166
middle_finger,16.0,0.947787610619469,0.7432338653712699,0.8331388564760793
middle_finger,17.0,0.9809734513274336,0.7497463645586744,0.8499137435307648
middle_finger,18.0,0.9707964601769912,0.7477845944103613,0.8448209472468233
middle_finger,19.0,0.9606194690265487,0.7457918241154242,0.8396828466447495
middle_finger,20.0,0.9451327433628318,0.7426981919332406,0.8317757009345793
ring_finger,0.0,0.9907366563740626,0.7539442766028869,0.856271444910408
ring_finger,1.0,0.9894133215703573,0.7536962365591398,0.8556170131604044
ring_finger,2.0,0.9717688575209528,0.7503405994550408,0.8468191428022295
ring_finger,3.0,0.9598588442876048,0.7480233757304916,0.8408037094281299
ring_finger,4.0,0.9382443758270842,0.7437062937062937,0.8297249853715623
ring_finger,5.0,0.9973533303925893,0.7551770207080828,0.8595324082873977
ring_finger,6.0,0.9947066607851787,0.7546854082998661,0.8582302568981922
ring_finger,7.0,0.9867666519629467,0.7531986531986532,0.8543059003246134
ring_finger,8.0,0.9708866343184825,0.7501704158145875,0.8463756969813496
ring_finger,9.0,0.9991177767975298,0.7555036691127418,0.8603988603988604
ring_finger,10.0,0.9969122187913542,0.7550952221850986,0.8593155893536122
ring_finger,11.0,0.9788266431407145,0.7516937669376694,0.8503544740371719
ring_finger,12.0,0.949272165857962,0.7459272097053726,0.8354037267080744
ring_finger,13.0,0.9916188795765328,0.7541093592754109,0.8567073170731707
ring_finger,14.0,0.9850022055580062,0.7528658125421444,0.8534301547869292
ring_finger,15.0,0.9598588442876048,0.7480233757304916,0.8408037094281299
ring_finger,16.0,0.925452139391266,0.7410808901448251,0.8230678697528442
ring_finger,17.0,0.9651521835024262,0.749058541595344,0.8434849653045489
ring_finger,18.0,0.9554477282752536,0.7471541911003794,0.8385598141695702
ring_finger,19.0,0.9457432730480811,0.7452207160236357,0.8335925349922239
ring_finger,20.0,0.9219232465813851,0.7403471484236628,0.8212180746561887
pinky,0.0,0.9899315344341523,0.826218487394958,0.9006962257237083
pinky,1.0,0.9931534434152235,0.8266845457593027,0.9023051591657519
pinky,2.0,0.9834877164720097,0.8252788104089219,0.8974641675854466
pinky,3.0,0.9770438985098671,0.8243289160720353,0.8942130482860302
pinky,4.0,0.9621425694724124,0.8220922229869236,0.8866208944145482
pinky,5.0,0.9967780910189287,0.8272058823529411,0.9041095890410957
pinky,6.0,0.9907370116794201,0.8263352368155862,0.901098901098901
pinky,7.0,0.9834877164720097,0.8252788104089219,0.8974641675854466
pinky,8.0,0.9738219895287958,0.8238500851788756,0.892580287929125
pinky,9.0,0.9991945227547322,0.8275517011340894,0.9053092501368363
pinky,10.0,0.9987917841320982,0.8274941608274942,0.9051094890510949
pinky,11.0,0.9895287958115183,0.8261600537995964,0.9004947773501925
pinky,12.0,0.9685863874345549,0.823066392881588,0.8899167437557818
pinky,13.0,0.9959726137736609,0.8270903010033445,0.9037091174858395
pinky,14.0,0.9947643979057592,0.8269166387679946,0.9031078610603291
pinky,15.0,0.9786548530004028,0.8245673566338649,0.8950276243093923
pinky,16.0,0.9480467176802255,0.8199233716475096,0.8793425476279417
pinky,17.0,0.9726137736608941,0.8236698499317872,0.89196675900277
pinky,18.0,0.9609343536045106,0.8219083706510506,0.8860007426661715
pinky,19.0,0.9395892066049134,0.8185964912280702,0.8749296831051941
pinky,20.0,0.9033427305678614,0.8126811594202898,0.8556170131604043
